group,screen,story_id,status,priority,user_story,evidence,gap
Configuration/Employee Management,Appreciation Categories,APC-04,partial,Medium,"As an HR admin, I want to edit an existing appreciation category, so that I can refine its description or points",appreciations-tab.tsx has add-category dialog only,No edit action on an existing category
Configuration/Employee Management,Appreciation Categories,APC-05,done,Low,"As an HR admin, I want to refresh the appreciation categories list, so that I see the current set of categories",appreciations-tab.tsx reactive store list is always current,
Configuration/Employee Management,Class Change Approvers,CCA-01,partial,High,"As an HR admin, I want to add new class change approvers for a location, so that employee class changes are routed to the right approvers",kensium-artifacts.ts 'Class Change Approvers' artifact placeholder,No UI to add class-change approvers per location
Configuration/Employee Management,Class Change Approvers,CCA-02,done,Medium,"As an HR admin, I want to add a new offer approver, so that offer-related approvals are directed to the correct role",recruitment/components/config-approvals.tsx 'Add offer approver rule' by location (TA-46),
Configuration/Employee Management,Class Change Approvers,CCA-03,partial,Medium,"As an HR admin, I want to view class change approvers by location, so that I can confirm the approval mapping",kensium-artifacts.ts artifact placeholder,No class-change approver list by location
Configuration/Employee Management,Class Change Approvers,CCA-04,partial,Medium,"As an HR admin, I want to edit an existing class change approver mapping, so that I can update approvers when roles change",kensium-artifacts.ts artifact placeholder,No edit of class-change approver mapping
Configuration/Employee Management,Document Custodian,DOC-01,done,High,"As an HR admin, I want to add a new document custodian, so that each document type has an assigned custodian position",employees/components/configuration/catalog-tabs.tsx 'New document custodian' dialog; documents/custodian-dialog.tsx,
Configuration/Employee Management,Document Custodian,DOC-02,partial,Medium,"As an HR admin, I want to filter custodians by Location, Department, Position and Employee class, so that I can quickly find relevant custodian mappings",catalog-tabs.tsx custSearch text filter over custodians,No structured Location/Department/Position/Class filters
Configuration/Employee Management,Document Custodian,DOC-03,partial,Low,"As an HR admin, I want to reset the search filters, so that I can start a new custodian search",catalog-tabs.tsx clearable text search only,No Reset action for structured filters
Configuration/Employee Management,Document Custodian,DOC-04,done,Medium,"As an HR admin, I want to view a document custodian's details, so that I can verify the document type, custodian position and applicability","catalog-tabs.tsx table shows document type, custodian position, applicability; documents/custodians-tab.tsx",
Configuration/Employee Management,Document Custodian,DOC-05,done,Low,"As an HR admin, I want to refresh the document custodian list, so that I see the latest custodian assignments",catalog-tabs.tsx reactive custodian list,
Configuration/Employee Management,Email Templates,EMT-01,done,High,"As an HR admin, I want to view the list of employee management email templates, so that I can see all configured email types and descriptions",notifications/components/templates-tab.tsx 'Email Templates' tab lists seeded library (NTF-25/26),
Configuration/Employee Management,Email Templates,EMT-02,done,High,"As an HR admin, I want to view an individual email template, so that I can review its content before it is sent",notifications/templates-tab.tsx viewing dialog shows individual template body,
Configuration/Employee Management,Email Templates,EMT-03,partial,Medium,"As an HR admin, I want to page through the email templates list, so that I can access all 32 templates",templates-tab.tsx list exists,No pagination controls for the 32-template set
Configuration/Employee Management,Email Templates,EMT-04,done,Low,"As an HR admin, I want to refresh the email templates list, so that I always see the latest templates",templates-tab.tsx reactive template list,
Configuration/Employee Management,Employee Access Permission,EAP-01,done,High,"As an HR admin, I want to select an employee class and location before configuring access, so that permissions apply to the correct group",employees/components/configuration/access-tab.tsx employee class + location selectors load matrix (EMP-51),
Configuration/Employee Management,Employee Access Permission,EAP-02,done,High,"As an HR admin, I want to set View and Edit permissions per field for HR, Reporting Manager and Employee, so that each role only accesses appropriate employee data",access-tab.tsx View/Edit checkboxes per field for HR/Reporting Manager/Employee (ACCESS_ACTORS),
Configuration/Employee Management,Employee Access Permission,EAP-03,done,High,"As an HR admin, I want to configure access across employee data tabs such as General Information, Personal Details, Documents and Employee Status, so that permissions are managed p","access-tab.tsx section tabs from ACCESS_SECTIONS (General Info, Personal, Documents, Status)",
Configuration/Employee Management,Employee Access Permission,EAP-04,done,Medium,"As an HR admin, I want to apply the tab settings to other employee classes and locations, so that I avoid repeating configuration",access-tab.tsx Apply-to-others across classes/locations (per EMP-51 docstring),
Configuration/Employee Management,Employee Access Permission,EAP-05,partial,Medium,"As an HR admin, I want to answer configuration questions like whether the employee is on the bench report, is billable, or can be created in Wrike, so that downstream systems and r",kensium-artifacts.ts 'Employee Access Permission' artifact,No bench-report/billable/Wrike question toggles in access-tab
Configuration/Employee Management,Employee Access Permission,EAP-06,done,High,"As an HR admin, I want to save the access configuration and continue to the next tab, so that I can complete configuration efficiently",access-tab.tsx saveAndNext advances section after save,
Configuration/Employee Management,Employee Appreciations,EAPR-01,done,High,"As an HR admin, I want to configure when employees are notified of their appreciation scores each month, so that recognition is communicated on a set schedule",appreciations-tab.tsx notifyDayOfMonth setting in notification schedule dialog,
Configuration/Employee Management,Employee Appreciations,EAPR-02,done,High,"As an HR admin, I want to set the date from which score calculation starts, so that appreciation points are tallied over the correct period",appreciations-tab.tsx scoreCalculationStart setting drives score tally,
Configuration/Employee Management,Employee Appreciations,EAPR-03,done,Medium,"As an HR admin, I want to save the appreciation settings, so that the configuration takes effect",appreciations-tab.tsx schedule dialog saves appreciationSettings to store,
Configuration/Employee Management,Employee Dependant Types,EDT-01,done,High,"As an HR admin, I want to add a new employee dependant type, so that employees can register dependants of the correct relationship",catalog-tabs.tsx 'New dependant type' dialog + saveDependantType,
Configuration/Employee Management,Employee Dependant Types,EDT-02,done,Medium,"As an HR admin, I want to view all dependant types with name and description, so that I can review the available relationships",catalog-tabs.tsx dependant types table (name/description) from seedDependantTypes,
Configuration/Employee Management,Employee Dependant Types,EDT-03,partial,Medium,"As an HR admin, I want to edit an existing dependant type, so that I can correct or update its details",catalog-tabs.tsx add-only dialog,No edit action on existing dependant types
Configuration/Employee Management,Employee Dependant Types,EDT-04,done,Low,"As an HR admin, I want to refresh the dependant types list, so that I see the current set",catalog-tabs.tsx reactive list,
Configuration/Employee Management,Employee Joining Checklist,EJC-01,done,High,"As an HR admin, I want to add a new employee joining task, so that onboarding steps are tracked for new hires",employees/components/lifecycle/onboarding-tabs.tsx JoiningChecklistTab (EMP-30) add task dialog,
Configuration/Employee Management,Employee Joining Checklist,EJC-02,done,Medium,"As an HR admin, I want to assign a responsible department and position level to each joining task, so that ownership of onboarding activities is clear",onboarding-tabs.tsx task form uses DEPARTMENTS/POSITIONS for responsibility,
Configuration/Employee Management,Employee Joining Checklist,EJC-03,done,Medium,"As an HR admin, I want to view all joining tasks with their applicability, so that I can review the onboarding checklist",onboarding-tabs.tsx joining tasks table (data/lifecycle.ts JoiningTask),
Configuration/Employee Management,Employee Joining Checklist,EJC-04,done,Medium,"As an HR admin, I want to edit an existing joining task, so that I can update onboarding steps as processes change",onboarding-tabs.tsx openFor(task) edit dialog on existing tasks,
Configuration/Employee Management,Employee Joining Checklist,EJC-05,partial,Low,"As an HR admin, I want to page through and refresh the joining tasks list, so that I can access all tasks and see the latest data",onboarding-tabs.tsx reactive list,No pagination controls on the joining task list
Configuration/Employee Management,Employee Life Event Types,ELE-01,partial,High,"As an HR admin, I want to add a new employee life event type, so that significant events like marriage, adoption or birth can be recorded",data/configuration.ts LIFE_EVENT_TYPES const; kensium-artifacts.ts artifact,Types hardcoded; no Add life event type UI
Configuration/Employee Management,Employee Life Event Types,ELE-02,partial,Medium,"As an HR admin, I want to view all life event types with name and description, so that I can review the configured events",catalog-tabs.tsx shows LIFE_EVENT_TYPES as inline text; used in my-profile-tab life-event picker,No table with name/description
Configuration/Employee Management,Employee Life Event Types,ELE-03,partial,Medium,"As an HR admin, I want to edit an existing life event type, so that I can keep the event definitions accurate",LIFE_EVENT_TYPES const only,No edit UI for life event types
Configuration/Employee Management,Employee Life Event Types,ELE-04,partial,Low,"As an HR admin, I want to refresh the life event types list, so that I see the current set",LIFE_EVENT_TYPES const only,No manageable list to refresh
Configuration/Employee Management,Employee Timeline,ETL-01,done,High,"As an HR admin, I want to add a new timeline event, so that key employee milestones are captured on the employee timeline",employees/components/configuration/policy-tabs.tsx 'New timeline event' dialog (EMP-54) saveTimelineEvent,
Configuration/Employee Management,Employee Timeline,ETL-02,done,Medium,"As an HR admin, I want to associate a timeline event with a module and a parent event, so that events are organized in the correct context",policy-tabs.tsx event form has module + parentEvent grouping,
Configuration/Employee Management,Employee Timeline,ETL-03,done,Medium,"As an HR admin, I want to attach a document reference to a timeline event, so that supporting evidence is linked to the milestone",policy-tabs.tsx preview shows attached document; TimelineEventConfig.document,
Configuration/Employee Management,Employee Timeline,ETL-04,done,Low,"As an HR admin, I want to assign a timeline color to each event, so that events are visually distinguishable on the timeline",policy-tabs.tsx 'Timeline color' input; preview swatch uses event color,
Configuration/Employee Management,Employee Timeline,ETL-05,done,Medium,"As an HR admin, I want to preview a timeline event, so that I can confirm how it will appear before use",policy-tabs.tsx Preview button opens 'Timeline preview' dialog,
Configuration/Employee Management,Employee Timeline,ETL-06,partial,Low,"As an HR admin, I want to page through the timeline events list, so that I can access all configured events",policy-tabs.tsx timeline events table,No pagination controls
Configuration/Employee Management,Employee Verification,EVR-01,done,High,"As an HR admin, I want to add a new employee verification, so that required background or credential checks are defined",catalog-tabs.tsx 'New verification check' dialog + saveVerification,
Configuration/Employee Management,Employee Verification,EVR-02,done,Medium,"As an HR admin, I want to mark a verification as recurring and set where it applies, so that periodic checks run for the right employees",data/configuration.ts VerificationCheck recurring/applicableAt fields set in catalog-tabs dialog,
Configuration/Employee Management,Employee Verification,EVR-03,done,Medium,"As an HR admin, I want to view all verifications with name, applicable at, recurring flag and applicability, so that I can review the verification setup",catalog-tabs.tsx verification checks table (EMP-52) with name/applicability columns,
Configuration/Employee Management,Employee Verification,EVR-04,done,Low,"As an HR admin, I want to refresh the verification list, so that I see the current set of verifications",catalog-tabs.tsx reactive verification list,
Configuration/Employee Management,Notification Templates,NTT-01,done,High,"As an HR admin, I want to view the list of employee notification templates, so that I can see all configured notification types","employees configuration NotificationsTab (EMP-26, policy-tabs.tsx) + notifications/templates-tab.tsx in-app tab",
Configuration/Employee Management,Notification Templates,NTT-02,done,High,"As an HR admin, I want to view an individual notification template, so that I can review its content before it is used",notifications/templates-tab.tsx viewing dialog; policy-tabs.tsx template edit sheet,
Configuration/Employee Management,Notification Templates,NTT-03,partial,Medium,"As an HR admin, I want to page through the notification templates list, so that I can access all 24 templates",template lists exist,No pagination controls for 24-template set
Configuration/Employee Management,Notification Templates,NTT-04,done,Low,"As an HR admin, I want to refresh the notification templates list, so that I always see the latest templates",reactive template list in policy-tabs.tsx / templates-tab.tsx,
Configuration/Employee Management,Quadrant Rating,QDR-01,done,High,"As an HR admin, I want to set the quadrant rating frequency, so that ratings are collected on the intended cycle",employees/components/performance/quadrant-tab.tsx frequency selector in cycle config dialog,
Configuration/Employee Management,Quadrant Rating,QDR-02,done,Medium,"As an HR admin, I want to define when the rating period should start, so that rating windows open at the right time",quadrant-tab.tsx periodStartDay setting,
Configuration/Employee Management,Quadrant Rating,QDR-03,done,Medium,"As a Manager, I want a reminder to provide ratings a set number of days after the start date, so that I do not miss the rating window",quadrant-tab.tsx reminderAfterDays setting,
Configuration/Employee Management,Quadrant Rating,QDR-04,done,Medium,"As an HR admin, I want to require ratings to be given within a set number of days after the start date, so that ratings are completed on time",quadrant-tab.tsx completionDeadlineDays setting,
Configuration/Employee Management,Quadrant Rating,QDR-05,done,Medium,"As an HR admin, I want to save the quadrant rating settings, so that the configuration takes effect",quadrant-tab.tsx saveQuadrantConfig 'Save — applies to subsequent cycles',
Configuration/Employee Management,User Defined Fields,UDF-01,done,High,"As an HR admin, I want to add a new user defined field, so that I can capture additional employee data not covered by standard fields",custom-fields/components/field-wizard.tsx creates field with name/type/mandatory/isDefault,
Configuration/Employee Management,User Defined Fields,UDF-02,done,Medium,"As an HR admin, I want to mark a user defined field as mandatory or default, so that required data is always captured",field-wizard-schema.ts Permissions step: per-role View/Edit on each field,
Configuration/Employee Management,User Defined Fields,UDF-03,done,Medium,"As an HR admin, I want to reorder user defined fields, so that they appear in a logical sequence on forms",field-wizard field-type selection (text/date etc.) enforced by dynamic-field-control.tsx,
Configuration/Employee Management,User Defined Fields,UDF-04,done,Medium,"As an HR admin, I want to save my user defined field configuration, so that the changes take effect",custom-fields/components/definitions-tab.tsx + fields-table-columns.tsx list type/mandatory/default/permissions,
Configuration/Employee Management,User Defined Fields,UDF-05,done,Low,"As an HR admin, I want to view all user defined fields with their type, mandatory and default status, so that I can review the custom field setup","definitions-tab.tsx edit via wizard, scope-gated by role, persists to store",
Configuration/Exit,Exit Approvers,EXAP-01,done,Medium,"As an HR admin, I want to view a list of exit approver groups with their exit type, locations, departments and approvers, so that I can review how exit approvals are configured.","config-exit-flow.tsx 'Exit approver groups' table: name, exit type, locations, depts, ordered approvers",No pagination (small mock list)
Configuration/Exit,Exit Approvers,EXAP-02,done,High,"As an HR admin, I want to add a new exit approvers group, so that exits of a given type in specific locations and departments route to the right approvers.","config-exit-flow.tsx 'Add exit approver group' dialog with exit type, locations, ordered approvers",
Configuration/Exit,Exit Approvers,EXAP-03,partial,Medium,"As an HR admin, I want to edit an existing exit approvers group, so that I can keep approver assignments accurate as teams change.",Approver groups table has no Edit action,No edit dialog for existing exit approver groups
Configuration/Exit,Exit Approvers,EXAP-04,partial,Low,"As an HR admin, I want to refresh the exit approvers list, so that I always see the latest configured groups.","Refresh exists only on config-templates.tsx, not the approvers section",No Refresh action on exit approver groups list
Configuration/Exit,Exit Approvers,EXAP-05,partial,Low,"As an HR admin, I want to page through the exit approver groups and proceed to the next configuration step, so that I can complete the exit setup workflow.",Full list rendered without pagination in config-exit-flow.tsx,No pagination controls or Next step
Configuration/Exit,Exit Clearance Approvers,ECA-01,done,Medium,"As an HR admin, I want to view the configured exit clearance form approvers, so that I know who signs off on employee clearances.",config-exit-flow.tsx 'Exit clearance functions & approver hierarchy' table (clearanceChains),
Configuration/Exit,Exit Clearance Approvers,ECA-02,partial,High,"As an HR admin, I want to add a new exit clearance approver, so that clearance forms route to the correct authority.","config-exit-flow.tsx clearance section — edit only, no add","No 'Add new exit clearance approver/function' action; chains are seeded, only editable"
Configuration/Exit,Exit Clearance Approvers,ECA-03,done,Medium,"As an HR admin, I want to edit an existing exit clearance approver, so that I can update the clearance approval chain when roles change.",config-exit-flow.tsx 'Edit hierarchy' button + EditClearanceChainDialog,
Configuration/Exit,Exit Clearance Approvers,ECA-04,partial,Low,"As an HR admin, I want to proceed to the next step after configuring clearance approvers, so that I can continue the exit setup workflow.",Lifecycle Config tabs allow moving between sections,No wizard Next step; navigation is via config tabs
Configuration/Exit,Exit Management,EXM-01,done,High,"As an HR admin, I want to indicate whether my organization supports exit management, so that the exit module is enabled or disabled accordingly.",config-exit.tsx 'Does your organization support exit management?' Switch (exitManagementEnabled),
Configuration/Exit,Exit Management,EXM-02,done,Medium,"As an HR admin, I want to view the list of configured exit types with their type and employee-class-specific flag, so that I can review the available exit reasons.","config-exit.tsx 'Exit types' table: name, type badge, employee-class specific",
Configuration/Exit,Exit Management,EXM-03,done,High,"As an HR admin, I want to add a new exit type, so that I can capture all the ways an employee may leave the organization.","config-exit.tsx 'Add exit type' dialog (name, category, class-specific)",
Configuration/Exit,Exit Management,EXM-04,done,Medium,"As an HR admin, I want to edit an existing exit type, so that I can keep exit definitions accurate.","config-exit.tsx Edit button per exit type row -> same dialog, exitTypes.update",
Configuration/Exit,Exit Management,EXM-05,partial,Low,"As an HR admin, I want to save and move to the next configuration step, so that I can complete the exit setup in sequence.",Auto-save with toasts on each change,No Save & Next wizard step
Configuration/Exit,Exit Questionnaire,EXQ-01,done,High,"As an HR admin, I want to indicate whether an exit questionnaire is performed, so that the questionnaire process is enabled for exits.",config-exit.tsx 'Do you perform exit questionnaire?' Switch (exitQuestionnaireEnabled),
Configuration/Exit,Exit Questionnaire,EXQ-02,done,Medium,"As an HR admin, I want to view the list of exit questions with their type, applicable exit types and responder, so that I can review the questionnaire content.","config-exit-flow.tsx exitQuestions table: question, type, exit types, responder, mandatory",
Configuration/Exit,Exit Questionnaire,EXQ-03,done,High,"As an HR admin, I want to add a new exit question, so that I can gather relevant feedback from departing employees.","config-exit-flow-dialogs.tsx 'Add exit question' dialog (text, type, exit types, responder)",
Configuration/Exit,Exit Questionnaire,EXQ-04,partial,Medium,"As an HR admin, I want to edit an existing exit question, so that I can refine the questionnaire over time.",Questions table in config-exit-flow.tsx has no Edit action,No edit for existing exit questions
Configuration/Exit,Exit Questionnaire,EXQ-05,done,Medium,"As an HR admin, I want to preview the exit questionnaire, so that I can see how it will appear to employees before publishing.",config-exit-flow.tsx 'Preview exit questionnaire' dialog (as responder sees it),
Configuration/Exit,Exit Questionnaire,EXQ-06,partial,Low,"As an HR admin, I want to save and continue to the next step, so that I can complete the exit configuration workflow.",Changes save immediately with toasts,No Save & Next wizard step
Configuration/Exit,Exit Tasks,EXT-01,done,Medium,"As an HR admin, I want to view the list of exit tasks with their applicable exit types, responsible position and time frame, so that I can review the offboarding checklist.","config-exit-flow.tsx 'Exit tasks (offboarding checklist)' table: task, exit types, responsible, time frame",
Configuration/Exit,Exit Tasks,EXT-02,done,High,"As an HR admin, I want to add a new exit task, so that all required offboarding activities are tracked for departing employees.","config-exit-flow.tsx 'Add exit task' dialog (name, exit types, owner, timing)",
Configuration/Exit,Exit Tasks,EXT-03,done,High,"As an HR admin, I want to assign each exit task to a responsible position level or reporting manager, so that ownership of offboarding activities is clear.",config-exit-flow.tsx taskOwner Select (Reporting Manager / roles) saved with task,
Configuration/Exit,Exit Tasks,EXT-04,done,Medium,"As an HR admin, I want to define a time frame relative to the last working day for each task, so that offboarding activities are completed on schedule.",config-exit-flow.tsx Before/After LWD + days -> timing 'Before LWD - N Day(s)',
Configuration/Exit,Exit Tasks,EXT-05,partial,Medium,"As an HR admin, I want to edit an existing exit task, so that I can keep the offboarding checklist current.",Exit tasks table has no Edit action,No edit for existing exit tasks
Configuration/Exit,Exit Tasks,EXT-06,partial,Low,"As an HR admin, I want to proceed to the next configuration step after reviewing exit tasks, so that I can continue the exit setup workflow.",Config tabs navigation only,No wizard Next step
Configuration/Exit,Layoff Approvers,LAP-01,done,High,"As an HR admin, I want to set the minimum number of employees required to initiate a layoff, so that the layoff process is only triggered when the threshold is met.",config-exit.tsx layoffMinEmployees input; threshold enforced in 'Initiate layoff (demo)',
Configuration/Exit,Layoff Approvers,LAP-02,done,Medium,"As an HR admin, I want to view the list of layoff approvers by location, so that I can see who approves layoffs in each location.",config-exit.tsx layoffApprovers table by location with empty-state row,
Configuration/Exit,Layoff Approvers,LAP-03,done,High,"As an HR admin, I want to add a new layoff approver for a location, so that layoff requests route to the correct approver.",config-exit.tsx 'Add approver' with location select + approver name,
Configuration/Exit,Layoff Approvers,LAP-04,partial,Low,"As an HR admin, I want to save and continue to the next step, so that I can complete the exit configuration workflow.",Settings auto-save with toasts in config-exit.tsx,No explicit Save & Next wizard step
Configuration/Exit,Letter Templates,LT-01,done,Medium,"As an HR admin, I want to view the list of exit letter templates with their type and description, so that I can see which letters are available.",config-templates.tsx templates table with template/letter type and description,
Configuration/Exit,Letter Templates,LT-02,done,Medium,"As an HR admin, I want to view a specific letter template, so that I can review its content before it is used.",config-templates.tsx viewing dialog shows template content,
Configuration/Exit,Letter Templates,LT-03,done,Low,"As an HR admin, I want to refresh the letter templates list, so that I always see the current set of templates.",config-templates.tsx Refresh button ('Templates refreshed'),
Configuration/Exit,Letter Templates,LT-04,partial,Low,"As an HR admin, I want to proceed to the next step after reviewing letter templates, so that I can continue the configuration workflow.",Config tabs navigation only,No wizard Next step
Configuration/Exit,Notice Period,NP-01,done,Medium,"As an HR admin, I want to view the list of notice period rules with their duration, applicable locations, departments and position levels, so that I can review notice period polici","config-exit.tsx 'Notice period rules' table: duration, class specific, locations, depts, position levels",
Configuration/Exit,Notice Period,NP-02,partial,Medium,"As an HR admin, I want to filter notice period rules by location, department and position, so that I can quickly find the rules relevant to a specific group.",config-exit.tsx location + department filter selects over noticeRules,"No position-level filter; filtering is live, no explicit Search action"
Configuration/Exit,Notice Period,NP-03,done,Low,"As an HR admin, I want to reset the notice period search filters, so that I can start a new search from a clean state.",config-exit.tsx Reset button clears loc/dept filters,
Configuration/Exit,Notice Period,NP-04,done,High,"As an HR admin, I want to add a new notice period rule, so that I can define notice durations for specific locations, departments and position levels.","config-exit.tsx 'Add rule' dialog saves name, duration, scope via config.noticeRules.add",
Configuration/Exit,Notice Period,NP-05,partial,Medium,"As an HR admin, I want to edit an existing notice period rule, so that I can keep notice policies aligned with organizational changes.",Notice rules table in config-exit.tsx has no Edit action,No edit dialog/button for existing notice period rules
Configuration/Exit,Notice Period,NP-06,partial,Low,"As an HR admin, I want to proceed to the next configuration step after setting notice periods, so that I can continue the exit setup workflow.",Config tabs navigation only,No wizard Next step
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-01,done,High,"As an HR admin, I want to indicate whether the organization supports Feedback / Grievance, so that the receiver configuration applies only when enabled",config-setup-step.tsx moduleEnabled toggle gates module; receivers config applies when enabled,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-02,done,High,"As an HR admin, I want to indicate whether Anonymous Feedback / Grievance is supported, so that anonymous receiver settings apply only when enabled",config-receivers-step.tsx: anonymousEnabled Switch 'Do you support Anonymous Feedback / Grievance?',
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-03,done,High,"As an HR admin, I want to assign applicable roles as non-anonymous feedback / grievance receivers, so that the right people receive submitted feedback",config-receivers-step.tsx: Non-Anonymous Receiver(s) dual-list role picker,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-04,done,High,"As an HR admin, I want to assign applicable roles as anonymous feedback / grievance receivers, so that anonymous submissions route to the correct recipients",config-receivers-step.tsx: Anonymous Receiver(s) picker shown when anonymousEnabled,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-05,done,Medium,"As an HR admin, I want to move roles between available and selected lists, so that I can precisely manage which roles are receivers",feedback/components/dual-list-picker.tsx: >> > < << move-one/move-all controls,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-06,done,Medium,"As an HR admin, I want to set a reminder to the approver after a number of days of receiving feedback / grievance, so that approvers act in a timely manner",config-receivers-step.tsx: 'Reminder to the approver after (days)' input,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-07,done,Medium,"As an HR admin, I want to set a reminder to the feedback coordinator after a number of days if the approver has not acted, so that stalled items are escalated",config-receivers-step.tsx: 'Reminder to feedback coordinator after (days)' input,
Configuration/Feedback - Grievance,Feedback / Grievance Receivers,FGR-08,done,High,"As an HR admin, I want to save the receiver configuration, so that the settings persist and take effect",config-receivers-step.tsx: Save / Save & Next -> store.saveReceivers,
Configuration/Feedback - Grievance,Setup,FGS-01,done,High,"As an HR admin, I want to enable or disable the Feedback / Grievance module, so that the feature is only active when the organization chooses to use it",feedback/components/config-setup-step.tsx: moduleEnabled Switch,
Configuration/Feedback - Grievance,Setup,FGS-02,done,High,"As an HR admin, I want to save my module enablement selection, so that the configuration persists",config-setup-step.tsx: Save button -> store.saveSetup,
Configuration/Feedback - Grievance,Setup,FGS-03,done,Medium,"As an HR admin, I want to use Save & Next to continue configuration, so that I can proceed to the Feedback / Grievance Receivers setup",config-setup-step.tsx: Save & Next advances to Receivers step,
Configuration/Feedback - Grievance,Setup,FGS-04,done,Low,"As an HR admin, I want to cancel my changes, so that I can discard edits I did not intend to keep","config-setup-step.tsx: Cancel resets state, discards unsaved changes",
Configuration/General,Department,DEPT-01,done,High,"As an HR admin, I want to add a new department, so that the organization structure reflects new business units",departments/components/directory-tab.tsx + department-overlay.tsx (create with name/parent/acronym/description),
Configuration/General,Department,DEPT-02,done,High,"As an HR admin, I want to view departments in a list with their key attributes, so that I can review the org structure at a glance",departments/components/directory-tab.tsx + departments-table-columns.tsx list view,
Configuration/General,Department,DEPT-03,done,Medium,"As an HR admin, I want to edit an existing department, so that I can keep department details accurate",directory-tab.tsx Edit action -> department-overlay.tsx (updateDepartment),
Configuration/General,Department,DEPT-04,done,Medium,"As an HR admin, I want to set a parent department for a department, so that hierarchical reporting structures are captured",department-overlay.tsx parentId select with cycle-safe parentOptions,
Configuration/General,Department,DEPT-05,done,Low,"As an HR admin, I want to page through and refresh the department list, so that I can browse all 52 departments and see current data",directory-tab.tsx pagination (DEPT-25) + Refresh button (store.refresh),
Configuration/General,Department,DEPT-06,partial,Low,"As an HR admin, I want to proceed to the next configuration step, so that I can complete the setup workflow",kensium-artifacts.ts 'Department' artifact only,No setup-wizard 'Next' step flow in Departments UI
Configuration/General,Interview Assessment Questions,IAQ-01,done,High,"As an HR admin, I want to add a new interview assessment question, so that interviewers evaluate candidates consistently",recruitment/components/config-hiring.tsx 'Add pre-interview question' dialog,
Configuration/General,Interview Assessment Questions,IAQ-02,partial,High,"As an HR admin, I want to add and edit rating sets, so that questions can be scored using defined values",config-hiring.tsx scorecard criteria show Rating scale column,No add/edit of named rating sets (Average/Good/Excellent value lists)
Configuration/General,Interview Assessment Questions,IAQ-03,partial,Medium,"As an HR admin, I want to mark whether a response and a rating are required for each question, so that mandatory feedback is enforced during interviews",kensium-artifacts.ts IAQ artifact; question dialog lacks flags,No Response required / Rating required flags on questions
Configuration/General,Interview Assessment Questions,IAQ-04,done,Medium,"As an HR admin, I want to scope questions to specific employee classes and positions, so that the right questions appear for each role",config-hiring.tsx question dialog: positionLevel + employeeClass fields shown in table,
Configuration/General,Interview Assessment Questions,IAQ-05,partial,Low,"As an HR admin, I want to set the checklist order of questions, so that interviewers see them in a logical sequence",kensium-artifacts.ts IAQ artifact only,No checklist-order/reorder UI for questions
Configuration/General,Interview Assessment Questions,IAQ-06,partial,Medium,"As an interviewer, I want to preview the interview assessment questionnaire, so that I can confirm how it will appear before conducting interviews",scorecard-dialog.tsx renders criteria at interview time,No 'Preview Interview Assessment Questionnaire' action in config
Configuration/General,Interview Assessment Questions,IAQ-07,partial,Low,"As an HR admin, I want to edit or refresh existing questions and rating sets, so that assessment content stays current",config-hiring.tsx editable criteria weights + version bump,No edit of existing questions or refresh action
Configuration/General,Shift,SHFT-01,done,High,"As an HR admin, I want to add a new shift with start and end times, so that employee working hours are defined",attendance/components/shifts-tab.tsx 'New shift pattern' dialog (name/start/end); weekly offs in departments/shifts-tab.tsx,
Configuration/General,Shift,SHFT-02,done,High,"As an HR admin, I want to view all shifts with their timing and location details, so that I can review scheduling across the organization",attendance shifts-tab patterns table + departments/shifts-tab.tsx (start/end/duration/default/locations/weekly offs),
Configuration/General,Shift,SHFT-03,done,Medium,"As an HR admin, I want to designate a default shift, so that employees without a specific shift are assigned a standard schedule",departments/components/shifts-tab.tsx Default shift selector + DefaultShiftBadge,
Configuration/General,Shift,SHFT-04,done,Medium,"As an HR admin, I want to assign locations and weekly offs to a shift, so that shift timings and rest days match each site",departments/shifts-tab.tsx weekly offs editor + location mapping (org-config LOCATIONS),
Configuration/General,Shift,SHFT-05,done,Medium,"As an HR admin, I want to control which roles the shift roster is visible to, so that only authorized users can view shift schedules",departments/shifts-tab.tsx 'Shift roster visible to' role toggles (rosterVisibleTo),
Configuration/General,Shift,SHFT-06,partial,Medium,"As an HR admin, I want to edit and save changes to existing shifts, so that shift definitions remain accurate",attendance shifts-tab creates patterns; kensium-artifacts.ts 'Shift' artifact,No edit+save of an existing shift definition (times/name)
Configuration/General,Shift,SHFT-07,partial,Low,"As an HR admin, I want to page through and refresh the shift list, so that I can browse all 31 shifts with current data",kensium-artifacts.ts 'Shift' artifact only,No pagination or refresh on shift lists
Configuration/HR Budget,Setup,HRB-01,partial,High,"As an HR admin, I want to enable or disable the HR budget planner module, so that I can control whether budget planning is available in the system",kx-060 'Setup' setting artifact in workflows/data/kensium-artifacts.ts (placeholder definition),No enable/disable toggle UI for HR budget planner in companies module
